"","trdar_cd_nm","lon","lat"
"5329","동호로11길",127.0081486,37.5523781
"5345","동호로15길",127.0079958,37.5545835
"5361","동호로20길",127.0095093,37.5600193
"5377","동호로8길",127.0138608,37.5534974
"5393","두텁바위로1길",126.9754246,37.5476149
"5409","둘레9길",127.0506583,37.5370939
"5425","등용로14길",126.9343936,37.5122987
"5441","등촌로13길",126.859804,37.5372175
"5457","등촌로39길",126.8603478,37.5461121
"5473","등촌로51길",126.8604727,37.5495684
"5489","등촌로55길",126.8620056,37.5501164
"5505","등촌로5길",126.8613846,37.533761
"5521","디지털로27길",126.8902836,37.4841056
"5537","디지털로32가길",126.8975472,37.4811371
"5553","디지털로32길",126.8993211,37.4837235
"5569","디지털로37길",126.8983282,37.4900522
"5585","디지털로57길",126.9011491,37.4917368
"5601","디지털로74길",126.9064708,37.4947395
"5617","뚝섬로23길",127.0661825,37.537359
"5633","뚝섬로24길",127.0630202,37.5345575
"5649","뚝섬로48길",127.0771561,37.5310519
"5665","뚝섬로54길",127.0802619,37.5299395
"5681","뚝섬로58길",127.0843932,37.5301766
"5697","뚝섬로5길",127.0509952,37.5420538
"5713","뚝섬로64길",127.0891378,37.5318075
"5729","마방로2길",127.0395502,37.4715078
"5745","마장로27길",127.0344233,37.5670846
"5761","마장로39길",127.0429473,37.567632
"5777","마조로16길",127.0430384,37.5644626
"5793","마조로1길",127.039547,37.5606754
"5809","마천로51길",127.152055,37.4967275
"5825","마포대로12길",126.954604,37.5470612
"5841","마포대로20길",126.9576095,37.5518015
"5857","마포대로4길",126.9459292,37.5368684
"5873","만리재옛길",126.9568875,37.5475132
"5889","만양로14길",126.946297,37.5120968
"5905","만양로8길",126.9467184,37.5095659
"5921","망우로18가길",127.0610712,37.5877933
"5937","망우로18길",127.0626289,37.5882421
"5953","망우로21길",127.0592473,37.5896388
"5969","망우로68길",127.1010552,37.5968837
"5985","망우로73길",127.1037918,37.6031299
"6001","망원로11길",126.9058145,37.5595587
"6017","망원로2길",126.902117,37.5545778
"6033","매봉길",127.0142975,37.5465935
"6049","매봉산로2길",126.8956667,37.5773826
"6065","면목로17길",127.0754847,37.5556443
"6081","면목로21길",127.0820424,37.5724004
"6097","면목로33길",127.0834822,37.576531
"6113","면목로45길",127.0866742,37.5819343
"6129","면목로48길",127.0905835,37.5820858
"6145","면목로49길",127.0857564,37.5829114
"6161","면목로55길",127.0858032,37.5843138
"6177","면목로56길",127.0910175,37.5838074
"6193","면목로78길",127.0903523,37.5907755
"6209","명동길",126.9848959,37.5636048
"6225","명륜길",126.9945216,37.5891354
"6241","명일로13길",127.1430487,37.5335139
"6257","명지대길",126.9238844,37.5826894
"6273","모래내로15길",126.9198012,37.5740091
"6289","모래내로7길",126.9107738,37.5675648
"6305","목동남로4길",126.8676048,37.5092286
"6321","목동동로12길",126.8738458,37.5229444
"6337","목동동로8길",126.8715748,37.5165921
"6353","목동로19길",126.8616429,37.5247756
"6369","목동로9길",126.8621716,37.5227583
"6385","목동중앙남로3가길",126.8646396,37.5383328
"6401","목동중앙로13나길",126.8801704,37.5447404
