trdar_cd_nm,Latitude,Longitude
동일로130길,37.6001935,127.0825927
동일로139가길,37.6042345,127.0781412
동일로139길,37.6030811,127.0768776
동일로140길,37.6049285,127.0811019
동일로149길,37.6063533,127.0752812
동일로157길,37.6097359,127.0761756
동일로163길,37.6118501,127.0760553
동일로173가길,37.6216387,127.0726318
동일로18길,37.5388474,127.0666523
동일로192길,37.6268785,127.0760258
동일로242길,37.6749848,127.0577785
동일로24길,37.542888,127.0683362
동작대로17길,37.4829156,126.9796058
동작대로29길,37.49006,126.97817
동작대로33길,37.4902347,126.9801392
동작대로35길,37.4919155,126.9790948
동작대로7길,37.4783526,126.9790449
동호로10길,37.5552361,127.0126794
동호로11길,37.5523781,127.0081486
동호로15길,37.5545835,127.0079958
동호로20길,37.5600193,127.0095093
동호로8길,37.5534974,127.0138608
두텁바위로1길,37.5476149,126.9754246
둘레9길,37.5370939,127.0506583
등용로14길,37.5122987,126.9343936
등촌로13길,37.5372175,126.859804
등촌로39길,37.5461121,126.8603478
등촌로51길,37.5495684,126.8604727
등촌로55길,37.5501164,126.8620056
등촌로5길,37.533761,126.8613846
디지털로27길,37.4841056,126.8902836
디지털로32가길,37.4811371,126.8975472
디지털로32길,37.4837235,126.8993211
디지털로37길,37.4900522,126.8983282
디지털로57길,37.4917368,126.9011491
디지털로74길,37.4947395,126.9064708
뚝섬로23길,37.537359,127.0661825
뚝섬로24길,37.5345575,127.0630202
뚝섬로48길,37.5310519,127.0771561
뚝섬로54길,37.5299395,127.0802619
뚝섬로58길,37.5301766,127.0843932
뚝섬로5길,37.5420538,127.0509952
뚝섬로64길,37.5318075,127.0891378
마방로2길,37.4715078,127.0395502
마장로27길,37.5670846,127.0344233
마장로39길,37.567632,127.0429473
마조로16길,37.5644626,127.0430384
마조로1길,37.5606754,127.039547
마천로51길,37.4967275,127.152055
마포대로12길,37.5470612,126.954604
마포대로20길,37.5518015,126.9576095
마포대로4길,37.5368684,126.9459292
만리재옛길,37.5475132,126.9568875
만양로14길,37.5120968,126.946297
만양로8길,37.5095659,126.9467184
망우로18가길,37.5877933,127.0610712
망우로18길,37.5882421,127.0626289
망우로21길,37.5896388,127.0592473
망우로68길,37.5968837,127.1010552
망우로73길,37.6031299,127.1037918
망원로11길,37.5595587,126.9058145
망원로2길,37.5545778,126.902117
매봉길,37.5465935,127.0142975
매봉산로2길,37.5773826,126.8956667
면목로17길,37.5704471,127.0821029
면목로21길,37.5724004,127.0820424
면목로33길,37.576531,127.0834822
면목로45길,37.5819343,127.0866742
면목로48길,37.5820858,127.0905835
면목로49길,37.5829114,127.0857564
면목로55길,37.5843138,127.0858032
면목로56길,37.5838074,127.0910175
면목로78길,37.5907755,127.0903523
명동길,37.5636048,126.9848959
명륜길,37.5891354,126.9945216
명일로13길,37.5335139,127.1430487
명지대길,37.5830918,126.9217026
모래내로15길,37.5740091,126.9198012
모래내로7길,37.5675648,126.9107738
목동남로4길,37.5092286,126.8676048
목동동로12길,37.5229444,126.8738458
목동동로8길,37.5165921,126.8715748
목동로19길,37.5247756,126.8616429
목동로9길,37.5227583,126.8621716
목동중앙남로3가길,37.5383328,126.8646396
목동중앙로13나길,37.5447404,126.8801704
목동중앙로3길,37.5378317,126.8685455
목동중앙본로7길,37.5394996,126.8673511
목동중앙북로16길,37.5437211,126.8728807
목동중앙북로8길,37.5456576,126.8664435
목동중앙서로7길,37.5336206,126.8660262
목동중앙서로8가길,37.5309542,126.8649288
무수막길,37.5511116,127.0227953
무학로16길,37.5707587,127.0317835
무학로45길,37.5800485,127.0277012
무학로6길,37.565077,127.033126
무학봉28길,37.5617126,127.0335792
무학봉길,37.5607632,127.0281856
문성로5길,37.4783102,126.9050001
미성5길,37.4737638,126.9151269
바우뫼로39길,37.4821069,127.0395285
반포대로9길,37.4828731,127.0091222
방배로18길,37.4858934,126.9981081
방배로35길,37.4925271,126.9880595
방배로42길,37.4944967,126.9901513
방배중앙로21길,37.492122,126.9845644
방배천로4안길,37.4803714,126.9833312
방울내로9안길,37.5607969,126.9002297
방학로10길,37.6640702,127.0341054
방학로15길,37.6603412,127.0238181
방학로5길,37.6614038,127.0382371
방학로6가길,37.6653933,127.0384357
방화대로21길,37.5638421,126.8127391
방화대로6라길,37.5557394,126.8183559
백범로16길,37.5468785,126.9424791
백범로79길,37.5412058,126.9645332
백범로90길,37.5374207,126.969245
백석동길,37.5953856,126.9670279
백제고분로21길,37.5056381,127.0908246
백제고분로22길,37.502055,127.0889823
백제고분로31길,37.5038326,127.0952442
백제고분로32길,37.4998633,127.0943942
백제고분로33길,37.5043861,127.0987532
백제고분로34길,37.5005541,127.0988138
백제고분로39길,37.5058869,127.1043148
백제고분로42길,37.5052344,127.1099911
백제고분로45길,37.5097005,127.1095702
백제고분로46길,37.5075478,127.1137929
백제고분로50길,37.5133452,127.1182633
범안로11길,37.4680761,126.8911737
범안로17길,37.4680863,126.8937169
법원단지9길,37.4752599,126.9221239
법원단지길,37.474634,126.9213333
벚꽃로56길,37.482747,126.8845978
보국문로16길,37.6129005,127.0103108
보문로13길,37.5798653,127.0196542
보문로26길,37.5870959,127.0207861
보문로31길,37.5874488,127.0144816
보문로32길,37.5901028,127.0197479
복은길,37.4745891,126.9391032
봉우재로33길,37.5942987,127.088409
봉은사로109길,37.5174074,127.0633745
봉은사로29길,37.5091694,127.0342797
봉은사로43길,37.511278,127.0395644
봉은사로57길,37.512626,127.044588
봉은사로68길,37.5101005,127.0511494
봉천로13길,37.4902328,126.9307895
봉천로33길,37.4848436,126.9441274
봉화산로30길,37.5992809,127.0852079
봉화산로4길,37.5994082,127.07529
봉화산로56길,37.6043989,127.0979026
부일로11길,37.495679,126.8308325
부일로15길,37.4943019,126.8330298
부일로1길,37.4933739,126.8191554
북아현로4길,37.5597105,126.9583898
북촌로11길,37.5831553,126.9838361
북촌로5길,37.5795376,126.9836008
북촌로5나길,37.5830559,126.9823805
불광천길,37.5922235,126.9150787
사가정로13길,37.579611,127.0587175
사가정로23가길,37.5801334,127.0719208
사가정로2길,37.568972,127.0535421
사가정로42길,37.5787398,127.0824743
사가정로54길,37.5789821,127.0874945
사근동길,37.5603172,127.045489
사당로16가길,37.4839673,126.9708794
사당로16길,37.4801925,126.9714636
사당로20길,37.4804371,126.9747901
사당로23길,37.4891624,126.9719905
사당로23나길,37.4872389,126.9748396
사당로26길,37.4794467,126.9779727
사당로29길,37.4861644,126.9773555
사당로2차길,37.4871214,126.9660472
사당로30길,37.4807642,126.9808225
사당로8길,37.4835542,126.9682748
사임당로17길,37.4921846,127.0187788
사평대로22길,37.4977817,126.9975644
사평대로26길,37.4984167,126.9989049
사평대로57길,37.506945,127.0222083
삼각산로28길,37.6384924,127.0198882
삼선교로10길,37.5858498,127.0094957
삼선교로10다길,37.5849979,127.008679
삼선교로16가길,37.5844757,127.0116099
삼성로115길,37.5143321,127.0494282
삼성로147길,37.5213942,127.0461968
삼성로57길,37.497349,127.0582793
삼성로63길,37.4997134,127.057647
삼성로64길,37.5004466,127.0627992
삼성로69길,37.5010505,127.0570152
삼성로75길,37.503009,127.0552536
삼양로144길,37.6517028,127.0141472
삼양로20길,37.6144675,127.0234682
삼양로24길,37.6171174,127.0225053
삼양로27길,37.6185492,127.0194937
삼양로41길,37.621758,127.0175304
삼양로54길,37.6236253,127.0224032
삼양로77길,37.629088,127.0154847
삼양로8길,37.6083037,127.0247112
삼양로93길,37.6374493,127.0162564
삼일대로4길,37.5620069,126.9898736
삼전로13길,37.5075405,127.086932
삼청로5길,37.5828725,126.9806183
상계로12길,37.6565894,127.0693811
상계로1길,37.6583056,127.062051
상계로9가길,37.6594541,127.0675733
상도로15길,37.5041193,126.9362517
상도로37길,37.5005225,126.9506584
상도로47길,37.5021171,126.951912
상도로61길,37.4947067,126.957003
상도로62길,37.4955491,126.9534595
상암로14길,37.5472051,127.1295459
상암로4길,37.5478953,127.125598
상암로51길,37.5475097,127.1462573
상암로5길,37.5521609,127.1276393
상원12길,37.55037,127.0496202
상원길,37.5485056,127.0482514
상일로5길,37.5491539,127.1720915
새말로18길,37.5035555,126.8922812
서달로10길,37.5039268,126.9628552
서달로14길,37.5072856,126.9649477
서달로15길,37.508614,126.9622803
서달로8가길,37.5055607,126.9625986
서림7길,37.4728059,126.9410688
서빙고로71길,37.5223526,126.9956626
서오릉로21길,37.6142936,126.9064354
서오릉로8길,37.6088148,126.9233954
서울숲2길,37.5469608,127.0410318
서울시립대로16길,37.5788421,127.0537941
서울시립대로29길,37.5856394,127.0546755
서울시립대로4길,37.5737465,127.0494268
서초대로15길,37.4885625,126.989361
서초대로23길,37.4903057,126.9909859
서초대로25길,37.4901581,126.9931003
서초대로4길,37.483831,126.9859554
서초대로64길,37.4932577,127.0213012
서초대로8길,37.4836546,126.9883057
서초중앙로8길,37.4869148,127.0190403
석계로1길,37.6157156,127.0622504
선릉로121길,37.5134419,127.03999
선릉로132길,37.5185474,127.0432944
선릉로133길,37.5180248,127.0394932
선릉로146길,37.5218251,127.0425973
선릉로18길,37.4843475,127.0608098
선유로55길,37.5386333,126.896829
선유서로24길,37.5237037,126.8875056
선유서로25길,37.5248443,126.8842256
선유서로28길,37.5244621,126.8874736
성균관로5길,37.5858405,126.9944935
성내로5길,37.5309166,127.1238022
성대로1길,37.5009852,126.9339831
성대로29길,37.5005418,126.9367653
성덕정17길,37.5378048,127.0553511
성덕정길,37.5380919,127.0521792
성미산로11길,37.5641098,126.9158095
성미산로1길,37.5605809,126.9069122
성미산로32길,37.5634264,126.9235994
성북로8길,37.5914423,127.0052663
성산로4길,37.5635576,126.9086457
성수이로18길,37.5420022,127.05947
성수이로7길,37.5414146,127.0540282
성수일로6길,37.5446373,127.0532983
성안로3길,37.5270165,127.1262496
성지3길,37.5465078,126.9146143
세검정로1길,37.5936893,126.9443997
세무서2길,,
세무서길,,
소담길,37.5471125,126.9537113
소월로20길,37.5448662,126.9847998
솔매로41길,37.6271531,127.0226972
솔매로45길,37.6280969,127.0243371
솔매로50길,37.6243756,127.027722
솔샘로65길,37.6201967,127.026574
솔샘로6길,37.6093665,127.0066862
송이로23길,37.497003,127.1265768
송이로32길,37.4886476,127.127438
송이로36길,37.4843363,127.1290824
송정12라길,37.5508793,127.067966
송정4가길,37.5513578,127.0666616
송파대로30길,37.4955962,127.1196205
수색로18길,37.5857862,126.8934217
수색로8길,37.5763013,126.9063763
수유로12길,37.6325048,127.0213621
숭문8길,37.5506337,126.9479208
숭문길,37.5502524,126.9460514
숭인동길,37.5766848,127.021663
승방길,37.4726408,126.9789247
시루봉로23길,37.6734529,127.0414802
시흥대로120길,37.4687061,126.9001857
시흥대로138길,37.4723054,126.899362
시흥대로141길,37.475232,126.8975726
시흥대로150길,37.47636,126.9007077
시흥대로153길,37.4768068,126.8952629
시흥대로22길,37.4408719,126.9062836
시흥대로36길,37.4434656,126.9061406
시흥대로62가길,37.4554253,126.9027831
시흥대로63길,37.4553132,126.8975189
시흥대로68길,37.4575775,126.902525
시흥대로84길,37.4610842,126.9013164
시흥대로94길,37.4423787,126.9040062
신길로17길,37.4983124,126.9064396
신길로39길,37.5069987,126.9084998
신길로42가길,37.5091359,126.915009
신길로42길,37.506933,126.9132109
신길로60길,37.5133668,126.9133292
신내로7가길,37.6025976,127.0942105
신대방길,37.4887455,126.9102741
신도림로13길,37.5101387,126.8799866
신림동길,37.4868459,126.9253536
신림로11길,37.4670073,126.939027
신림로28길,37.4727129,126.9357299
신림로38길,37.4767971,126.9380228
신림로48길,37.4792699,126.9341738
신림로64길,37.4852331,126.9322364
신림로65길,37.4853079,126.928245
신목로2길,37.5206554,126.8761665
신목로5길,37.5176196,126.8730296
신목로6길,37.5204712,126.874835
신반포로45길,37.5117775,127.0178926
신사로20길,37.4879067,126.9175986
신원로3길,37.4820479,126.9264142
신월로15길,37.5197054,126.8415168
신월로20길,37.5186508,126.8457258
신촌로12길,37.5550404,126.9328849
신촌로28가길,37.5564935,126.9511351
신촌로30길,37.5574667,126.9294307
신촌로37길,37.5581447,126.9587522
신흥로20길,37.5468614,126.9843197
아리랑로4길,37.5954656,127.0182492
아차산로11길,37.5456625,127.0598925
아차산로15길,37.5452966,127.0630048
아차산로40길,37.5358632,127.0780099
아차산로51길,37.5394953,127.0850152
아차산로55길,37.5397202,127.0866272
아차산로5길,37.5475038,127.0532253
아차산로65길,37.5416863,127.0929705
아차산로78길,37.5496516,127.1094608
안암로5길,37.5812396,127.023296
암사길,37.5515268,127.1347728
압구정로2길,37.5200389,127.0199948
약령시로17길,37.5852293,127.0426382
양녕로26길,37.4962624,126.9436179
양녕로6길,37.4839181,126.9505353
양산길,36.0069854,126.9103043
양재대로101길,37.5325841,127.1354448
양재대로116길,37.5382213,127.1425623
양재대로124길,37.542279,127.1457241
양재대로133길,37.548083,127.140956
양재대로62길,37.4972447,127.1194343
양재대로64길,37.4996705,127.1234955
양재대로71길,37.511178,127.1247895
양재대로72길,37.5086456,127.130059
양재대로91길,37.5283633,127.1335211
양재대로95길,37.5305754,127.1345243
양재대로96길,37.5294129,127.1387767
양지길,37.6386569,128.4931479
양천로14길,37.5706654,126.8095916
양천로24가길,37.5716798,126.8140097
양천로24길,37.5703536,126.8150236
양천로26길,37.5725018,126.819582
양천로49길,37.5708471,126.8402943
양천로71길,37.5531206,126.8725258
양천로73가길,37.5503656,126.8745484
양평로19길,37.53585,126.8942184
양평로22라길,37.5394154,126.8943329
양평로28길,37.5334055,126.9033238
