"","trdar_cd_nm","long","lat"
"659","우마길",37.481925,126.887833
"660","중앙로15길",37.483374,126.954127
"661","중앙로1길",37.483374,126.954127
"662","가산로3길",37.47074393,126.9023775
"663","가산로5길",37.47074393,126.9023775
"664","금하로14길",37.453508,126.903913
"665","금하로1길",37.453508,126.903913
"666","금하로24길",37.453508,126.903913
"667","남부순환로112길",37.478376,126.895573
"668","남부순환로112길",37.511827,126.840417
"669","독산로108길",37.485051,126.901454
"670","독산로40길",37.485051,126.901454
"671","독산로50길",37.485051,126.901454
"672","독산로64길",37.485051,126.901454
"673","독산로70길",37.485051,126.901454
"674","독산로78다길",37.485051,126.901454
"675","독산로85길",37.485051,126.901454
"676","문성로5길",37.479185,126.926859
"677","범안로11길",37.466685,126.889516
"678","범안로17길",37.466685,126.889516
"679","벚꽃로56길",37.48174,126.882639
"680","시흥대로120길",37.469232,126.897909
"681","시흥대로138길",37.469232,126.897909
"682","시흥대로141길",37.469232,126.897909
"683","시흥대로150길",37.469232,126.897909
